cofactor	reaction
H+_c	"46, 74, 75, 76"
H2O_c	"41, 42, 46, 83, 86"
Phosphate_c	"42, 47, 79"
Diphosphate_c	42
ATP_c	"45, 47, 80"
ADP_c	"45, 47, 80"
UTP_c	45
UDP_c	45
NAD+_m	75
NADH_m	75
CO2_m	"67, 85"
NADPH_m	
NADP+_m	
ATP_m	"80, 76, 77"
Bicarbonate_m	67
ADP_m	"80, 76, 77"
FAD_m	74
FADH2_m	74
GDP_m	77
GTP_m	77
OH-_m	66
O2_c	"72, 84"
O2_m	"74, 75, 84"
ACP_c	
Bicarbonate_c	41
CoA_c	
NAD+_c	
NADH_c	
CO2_c	"41, 71, 85"
NADPH_c	
NADP+_c	
H2O_m	"66, 67, 83, 86"
H+_m	"66, 74, 75, 76"
CoA_m	
OH-_c	46
AMP_c	
Phosphate_m	"76, 79"
