Metabolite	x	y		
Pyruvate_c	0	0		
Phosphoenolpyruvate_c	0	10		
D-Glycerate 2-phosphate_c	0	20		
3-Phospho-D-glycerate_c	0	30		
3-Phospho-D-glyceroyl phosphate_c	0	40		
Glyceraldehyde 3-phosphate_c	0	50		
Dihydroxyacetone phosphate_c	-15	50		
"D-Fructose 1,6-bisphosphate_c"	-7.5	60		
D-Fructose 6-phosphate_c	-7.5	70		
D-Glucose 6-phosphate_c	-10	80		
"6-phospho-D-glucono-1,5-lactone_c"	0	85		
6-Phospho-D-gluconate_c	12.5	85		
D-Ribulose 5-phosphate_c	25	85		
alpha-D-Ribose 5-phosphate_c	30	77.5		
D-Xylulose 5-phosphate_c	20	77.5		
Sedoheptulose 7-phosphate_c	15	60		
D-Erythrose 4-phosphate_c	10	75		
Glycerol 3-phosphate_c	-15	40		
				
Pyruvate_m	5	-15		
Acetyl-CoA_m	7.5	-25		
Oxaloacetate_m	0	-35		
Citrate_m	15	-35		
Isocitrate_m	22.5	-42.5		
2-Oxoglutarate_m	22.5	-50		
Succinyl-CoA_m	5	-57.5		
Succinate_m	-5	-57.5		
Fumarate_m	-10	-50		
L-Malate_m	-10	-37.5		
S-Succinyldihydrolipoamide_m	12.5	-55		
Dihydrolipoamide_m	12.5	-60		
Lipoamide_m	22.5	-60		
				
				
				
D-Glucose_c	-20	82		
D-Glucose 1-phosphate_c	-20	77.5		
UDP-glucose_A	-6	87.5		
UDP-glucose_B	-20	67.5		
"alpha,alpha'-Trehalose 6-phosphate_c"	-15	90		
Trehalose_c	-25	90		
"(1,4-alpha-D-Glucosyl)n_c"	-30	67.5		
glycogen_c	-30	77.5		
				
Acetyl-CoA_c	40	0		
Acetyl-ACP_c	50	0		
Acetate_c	40	10		
Acetaldehyde_c	40	20		
Ethanol_c	40	30		
Malonyl-CoA_c	40	-10		
Malonyl-[ACP]_c	50	-10		
Palmitoyl-ACP (n-C16:0ACP)_c	57.5	-5		
Palmitoyl-CoA (n-C16:0CoA)_c	67.5	-15		
Palmitoylcarnitine_c	67.5	-25		
Palmitoylcarnitine_m	67.5	-35		
Palmitoyl-CoA (n-C16:0CoA)_m	55	-40		
Citrate_c	30	-10		
Carnitine_m	72.5	-50		
Carnitine_c	72.5	-10		
Oxaloacetate_c	20	0		
L-Malate_c	10	0		
Hexadecanoate (n-C16:0)_c	67.5	-5		
				
				
H2O_m	-62.5	-15		
H2O_c	-62.5	15		
CO2_m	-70	-15		
CO2_c	-70	15		
O2_c	-80	15		
O2_m	-80	-15		
Hydrogen peroxide_c	-60	50		
H+_m	-57.5	-17.5		
H+_c	-37.5	7		
ATP_m	-15	-15		
ADP_m	-37.5	-10		
ATP_c	-15	15		
ADP_c	-35	17.5		
Thioredoxin disulfide_c	-65	60		
Thioredoxin_c	-70	50		
Bicarbonate_m	-66.25	-25		
Bicarbonate_c	-66.25	25		
GDP_m	-15	-30		
GTP_m	-25	-30		
FAD_m	-43.5	10		
FADH2_m	-59	10		
NAD+_m	-43.5	-10		
NADH_m	-59	-10		
Diphosphate_c	-65	30		
UTP_c	-25	30		
UDP_c	-15	30		
Phosphate_m	-30	-30		
Phosphate_c	-30	30		
OH-_c	-42	23		
OH-_m	-61	-25		
Diphosphate_c	-55	30		
